Epoch,disc_loss,gen_loss
0,0.1750219464302063,6.399688720703125
10,0.16259565949440002,10.818281173706055
20,0.16258174180984497,12.063716888427734
30,0.16255305707454681,13.186026573181152
40,0.16254334151744843,13.24336051940918
50,0.16256438195705414,14.798613548278809
60,0.16254539787769318,14.988149642944336
70,0.16255272924900055,14.824945449829102
80,0.16257326304912567,16.175264358520508
90,0.16254660487174988,16.318660736083984
100,0.16256992518901825,16.148723602294922
110,0.16254693269729614,17.328248977661133
120,0.162545844912529,17.204652786254883
130,0.16254521906375885,17.484617233276367
140,0.1625421792268753,17.150917053222656
150,0.1625531166791916,17.21230697631836
160,0.1625504046678543,17.401182174682617
170,0.1625434309244156,17.28094482421875
180,0.16254612803459167,18.331623077392578
190,0.16254684329032898,19.00713539123535
200,0.16254231333732605,18.931903839111328
210,0.16254301369190216,18.56649398803711
